longitude,latitude,YR,MO,X,Y,TOT,CR,
-74.00148303,40.73480536,2014,2,983839,206986,1,BURGLARY,
-73.99598826,40.72265976,2014,2,985362,202561,2,ROBBERY,
-73.98221141,40.77345277,2014,2,989177,221067,1,GRAND LARCENY,
-73.92093789,40.86544921,2014,2,1006118,254594,1,GRAND LARCENY,
-73.94501271,40.78710706,2014,2,999477,226046,1,ROBBERY,
-73.94714487,40.67594548,2014,1,998911,185546,1,FELONY ASSAULT,
-73.94826252,40.81065284,2014,2,998572,234624,1,FELONY ASSAULT,
-73.94909442,40.80929732,2014,2,998342,234130,2,GRAND LARCENY,
-73.96158838,40.76763163,2014,2,994890,218948,1,GRAND LARCENY,
-73.91063727,40.70690864,2014,2,1009026,196835,1,BURGLARY,
-73.7768804,40.78375049,2014,2,1046039,224897,1,FELONY ASSAULT,
-73.74312719,40.69607285,2014,2,1055480,192979,1,ROBBERY,
-73.75097448,40.70473889,2014,2,1053295,196130,1,BURGLARY,
-73.87620223,40.76940776,2014,2,1018541,219617,1,GRAND LARCENY OF MOTOR VEHICLE,
-74.08369399,40.6417821,2014,2,961023,173106,1,BURGLARY,
-73.90148435,40.874489,2014,2,1011495,257893,1,ROBBERY,
-73.72104948,40.74266613,2014,6,1061548,209973,1,ROBBERY,
-74.13823085,40.63172746,2014,1,945882,169462,1,ROBBERY,
-73.88417289,40.85283371,2014,2,1016293,250009,1,FELONY ASSAULT,
-73.89924889,40.86070869,2014,2,1012119,252873,1,FELONY ASSAULT,
-73.87802582,40.87561387,2014,2,1017982,258311,1,ROBBERY,
-73.92093774,40.81691726,2014,2,1006134,236912,1,ROBBERY,
-73.89745047,40.86649018,2014,2,1012614,254980,1,BURGLARY,
-73.88950983,40.86929342,2014,2,1014809,256004,1,GRAND LARCENY,
-73.89289063,40.86019793,2014,2,1013878,252689,1,GRAND LARCENY,
-73.89794546,40.85963985,2014,2,1012480,252484,2,FELONY ASSAULT,
-73.89939158,40.86914876,2014,2,1012076,255948,1,ROBBERY,
-73.90615861,40.87528062,2014,2,1010202,258180,1,GRAND LARCENY,
-73.82531505,40.76297678,2014,1,1032641,217298,1,ROBBERY,
-73.93010467,40.81224892,2014,2,1003598,235209,3,FELONY ASSAULT,
-73.93744249,40.59237554,2014,2,1001624,155101,1,FELONY ASSAULT,
-73.96949929,40.59170781,2014,2,992721,154853,1,FELONY ASSAULT,
-73.91458069,40.60748466,2014,2,1007968,160611,1,GRAND LARCENY,
-73.8722849,40.68858682,2014,2,1019669,190173,1,GRAND LARCENY,
